Cluster Composition,Cluster Ancestor,Representative sequence,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
8 member(s) 4 organism(s),enterobacteria,"minor capsid protein, partial [Yersinia pestis]",Enterobacterales,91347,215,215,81%,6e-70,100.00,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025470931.1?report=genbank&log$=prottop&blast_rank=1&RID=UPB4PPT9014"",""WP_025470931.1"")"
11 member(s) 6 organism(s),enterobacteria,minor capsid protein [Enterobacter hormaechei],Enterobacteriaceae,543,211,258,99%,4e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_220719734.1?report=genbank&log$=prottop&blast_rank=2&RID=UPB4PPT9014"",""WP_220719734.1"")"
91 member(s) 31 organism(s),root,minor capsid protein [Escherichia coli],root,1,210,256,99%,9e-68,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124831680.1?report=genbank&log$=prottop&blast_rank=3&RID=UPB4PPT9014"",""WP_124831680.1"")"
61 member(s) 17 organism(s),enterobacteria,minor capsid protein [Salmonella enterica],Salmonella,590,196,242,99%,3e-62,83.65,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_079964170.1?report=genbank&log$=prottop&blast_rank=4&RID=UPB4PPT9014"",""WP_079964170.1"")"
4 member(s) 3 organism(s),bacteria,"minor capsid protein, partial [Yersinia pestis]",Bacteria,2,194,194,74%,7e-62,100.00,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016594713.1?report=genbank&log$=prottop&blast_rank=5&RID=UPB4PPT9014"",""WP_016594713.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Buttiauxella sp. WJP83],Buttiauxella sp. WJP83,2986951,192,237,99%,1e-60,84.62,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_270146268.1?report=genbank&log$=prottop&blast_rank=6&RID=UPB4PPT9014"",""WP_270146268.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Escherichia fergusonii],Escherichia fergusonii,564,190,236,99%,9e-60,81.73,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_046083842.1?report=genbank&log$=prottop&blast_rank=7&RID=UPB4PPT9014"",""WP_046083842.1"")"
3 member(s) 1 organism(s),E. coli,minor capsid protein [Escherichia coli],Escherichia coli,562,185,232,99%,1e-57,80.77,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001405042.1?report=genbank&log$=prottop&blast_rank=8&RID=UPB4PPT9014"",""WP_001405042.1"")"
7 member(s) 4 organism(s),enterobacteria,minor capsid protein [Enterobacter cancerogenus],Enterobacteriaceae,543,184,229,99%,3e-57,79.81,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_313830406.1?report=genbank&log$=prottop&blast_rank=9&RID=UPB4PPT9014"",""WP_313830406.1"")"
1 member(s) 1 organism(s),enterobacteria,MULTISPECIES: minor capsid protein [Citrobacter],Citrobacter,544,182,182,81%,1e-56,79.81,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_130097770.1?report=genbank&log$=prottop&blast_rank=10&RID=UPB4PPT9014"",""WP_130097770.1"")"
11 member(s) 3 organism(s),enterobacteria,minor capsid protein [Cronobacter sakazakii],Cronobacter,413496,182,229,99%,2e-56,79.81,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075183882.1?report=genbank&log$=prottop&blast_rank=11&RID=UPB4PPT9014"",""WP_075183882.1"")"
127 member(s) 8 organism(s),enterobacteria,minor capsid protein [Escherichia albertii],Enterobacteriaceae,543,180,227,99%,1e-55,79.05,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_256880945.1?report=genbank&log$=prottop&blast_rank=12&RID=UPB4PPT9014"",""WP_256880945.1"")"
1 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],Escherichia coli,562,176,176,81%,2e-54,75.96,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELD1608237.1?report=genbank&log$=prottop&blast_rank=13&RID=UPB4PPT9014"",""ELD1608237.1"")"
1 member(s) 1 organism(s),enterobacteria,"phage tail terminator protein, partial [Yersinia pestis]",Yersinia pestis,632,174,174,65%,7e-54,100.00,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038929065.1?report=genbank&log$=prottop&blast_rank=14&RID=UPB4PPT9014"",""WP_038929065.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Klebsiella pneumoniae],Klebsiella pneumoniae,573,164,164,80%,2e-49,70.87,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGO5655653.1?report=genbank&log$=prottop&blast_rank=15&RID=UPB4PPT9014"",""HGO5655653.1"")"



		


